1.046,0.718
1.099,0.436
1.160,0.155
1.228,-0.124
1.305,-0.401
1.391,-0.675
1.487,-0.945
1.594,-1.210
1.711,-1.470
1.841,-1.724
2.000,-1.995
2.175,-2.255
2.365,-2.506
2.569,-2.747
2.784,-2.980
3.008,-3.205
3.240,-3.422
3.478,-3.633
3.720,-3.838
3.964,-4.037
4.237,-4.243
4.526,-4.432
4.828,-4.604
5.141,-4.757
5.464,-4.891
5.795,-5.004
6.131,-5.095
6.470,-5.164
6.812,-5.208
7.153,-5.228
7.536,-5.215
7.917,-5.165
8.296,-5.082
8.669,-4.967
9.037,-4.826
9.396,-4.660
9.746,-4.474
10.085,-4.271
10.411,-4.053
10.724,-3.824
10.977,-3.620
11.219,-3.402
11.451,-3.171
11.671,-2.927
11.879,-2.673
12.075,-2.408
12.258,-2.135
12.427,-1.854
12.582,-1.567
12.722,-1.273
12.843,-0.913
12.900,-0.534
12.910,-0.144
12.890,0.255
12.857,0.658
12.826,1.059
12.815,1.453
12.839,1.837
12.916,2.205
13.063,2.553
13.279,2.906
13.522,3.239
13.789,3.555
14.076,3.857
14.378,4.146
14.693,4.426
15.016,4.697
15.344,4.963
15.672,5.225
15.996,5.487
16.343,5.734
16.717,5.943
17.109,6.125
17.514,6.290
17.921,6.450
18.324,6.614
18.716,6.794
19.087,6.999
19.430,7.240
19.738,7.528
19.950,7.895
20.001,8.327
19.915,8.798
19.711,9.284
19.411,9.762
19.038,10.208
18.611,10.597
18.153,10.906
17.686,11.109
17.229,11.184
16.824,11.183
16.419,11.175
16.014,11.161
15.609,11.140
15.204,11.113
14.800,11.079
14.396,11.040
13.993,10.994
13.591,10.943
13.190,10.887
12.764,10.823
12.337,10.757
11.911,10.690
11.486,10.620
11.060,10.549
10.635,10.476
10.210,10.402
9.786,10.324
9.362,10.245
8.938,10.164
8.372,10.046
7.806,9.911
7.243,9.760
6.685,9.590
6.134,9.401
5.590,9.191
5.057,8.960
4.537,8.705
4.030,8.427
3.539,8.123
3.186,7.864
2.859,7.570
2.556,7.243
2.281,6.888
2.033,6.510
1.813,6.114
1.623,5.702
1.464,5.281
1.337,4.853
1.243,4.424
1.182,4.085
1.123,3.744
1.068,3.402
1.019,3.058
0.980,2.714
0.952,2.370
0.937,2.026
0.939,1.682
0.959,1.340
1.000,1.000
